YYYYMMDD,DOY,TEMP,RHUM,RAIN,LAT,LON
2000-06-05,157,27.75,80.930908203125,8.739137649536133,14.6774,121.25562
2000-06-06,158,27.73,78.30613708496094,0,14.6774,121.25562
2000-06-07,159,27.16,80.56604766845703,16.2172794342041,14.6774,121.25562
2000-06-08,160,27.15,81.34718322753906,0,14.6774,121.25562
2000-06-09,161,26.42,81.289154052734375,0,14.6774,121.25562
2000-06-10,162,27.02,79.41088104248047,5.405760288238525,14.6774,121.25562
2000-06-11,163,27.31,79.81017303466797,0,14.6774,121.25562
2000-06-12,164,26.16,84.74308776855469,6.353241920471191,14.6774,121.25562
2000-06-13,165,26.77,84.67613983154297,3.6171987056732178,14.6774,121.25562
2000-06-14,166,26.98,82.813232421875,0,14.6774,121.25562
2000-06-15,167,26.38,86.357879638671875,12.706483840942383,14.6774,121.25562
2000-06-16,168,26.4,84.65968322753906,7.762338638305664,14.6774,121.25562
2000-06-17,169,26.87,82.80860900878906,0,14.6774,121.25562
2000-06-18,170,27.72,78.0793228149414,0,14.6774,121.25562
2000-06-19,171,26.52,84.62346649169922,0,14.6774,121.25562
2000-06-20,172,27.06,79.85294342041016,7.762338638305664,14.6774,121.25562
2000-06-21,173,27.18,79.53248596191406,9.73444652557373,14.6774,121.25562
2000-06-22,174,26.66,81.91606903076172,19.46889305114746,14.6774,121.25562
2000-06-23,175,26.79,79.99498748779297,0,14.6774,121.25562
2000-06-24,176,26.59,82.73199462890625,4.867223262786865,14.6774,121.25562
2000-06-25,177,27.17,79.32674407958984,4.867223262786865,14.6774,121.25562
2000-06-26,178,27.11,78.2955322265625,11.671853065490723,14.6774,121.25562
2000-06-27,179,26.57,82.56053924560547,29.17963218688965,14.6774,121.25562
2000-06-28,180,26.98,81.13008117675781,5.835926532745361,14.6774,121.25562
2000-06-29,181,26.11,82.11515045166016,26.67852020263672,14.6774,121.25562
2000-06-30,182,26.01,84.5717544555664,13.33926010131836,14.6774,121.25562
2000-07-01,183,26.22,82.40215301513672,13.194262504577637,14.6774,121.25562
2000-07-02,184,26.44,79.713470458984375,32.98565673828125,14.6774,121.25562
2000-07-03,185,24.99,84.64396667480469,39.582786560058594,14.6774,121.25562
2000-07-04,186,24.2,90.36071014404297,39.582786560058594,14.6774,121.25562
2000-07-05,187,24.74,87.8319091796875,39.582786560058594,14.6774,121.25562
2000-07-06,188,25.88,83.512939453125,58.999656677246094,14.6774,121.25562
2000-07-07,189,25.64,83.6552734375,68.83293151855469,14.6774,121.25562
2000-07-08,190,25.2,85.261932373046875,39.33310317993164,14.6774,121.25562
2000-07-09,191,25.32,87.09014129638672,39.33310317993164,14.6774,121.25562
2000-07-10,192,26.92,80.8692855834961,0,14.6774,121.25562
2000-07-11,193,28.18,73.90105438232422,0,14.6774,121.25562
2000-07-12,194,25.65,83.33949279785156,36.456478118896484,14.6774,121.25562
2000-07-13,195,25.06,85.046478271484375,48.608638763427734,14.6774,121.25562
2000-07-14,196,25.28,85.08238220214844,30.38039779663086,14.6774,121.25562
2000-07-15,197,24.68,83.66009521484375,24.304319381713867,14.6774,121.25562
2000-07-16,198,26.34,76.928314208984375,0,14.6774,121.25562
2000-07-17,199,27.49,73.13610076904297,0,14.6774,121.25562
2000-07-18,200,27.52,77.00379180908203,15.012774467468262,14.6774,121.25562
2000-07-19,201,27.27,76.1313705444336,0,14.6774,121.25562
2000-07-20,202,27.08,78.40321350097656,15.012774467468262,14.6774,121.25562
2000-07-21,203,26.53,78.10667419433594,23.41145133972168,14.6774,121.25562
2000-07-22,204,26.25,80.49446868896484,29.26431655883789,14.6774,121.25562
2000-07-23,205,26.41,83.01215362548828,17.5585880279541,14.6774,121.25562
2000-07-24,206,25.34,84.48104095458984,0,14.6774,121.25562
2000-07-25,207,25.81,83.59209442138672,5.85286283493042,14.6774,121.25562
2000-07-26,208,27.32,79.72933197021484,0,14.6774,121.25562
2000-07-27,209,26.24,81.97480010986328,5.583138465881348,14.6774,121.25562
2000-07-28,210,26.74,79.27154541015625,0,14.6774,121.25562
2000-07-29,211,26.59,81.82177734375,0,14.6774,121.25562
2000-07-30,212,27.62,78.81465911865234,0,14.6774,121.25562
2000-07-31,213,27.89,76.3598861694336,3.989084482192993,14.6774,121.25562
2000-08-01,214,27.24,80.17401123046875,0,14.6774,121.25562
2000-08-02,215,26.58,81.64704895019531,16.672977447509766,14.6774,121.25562
2000-08-03,216,26.35,80.37605285644531,0,14.6774,121.25562
2000-08-04,217,26.27,80.62953186035156,57.16449737548828,14.6774,121.25562
2000-08-05,218,25.62,80.66231536865234,19.054832458496094,14.6774,121.25562
2000-08-06,219,25.64,84.216094970703125,42.01900100708008,14.6774,121.25562
2000-08-07,220,26.66,77.84849548339844,0,14.6774,121.25562
2000-08-08,221,27.05,78.09217834472656,0,14.6774,121.25562
2000-08-09,222,28.01,76.669891357421875,0,14.6774,121.25562
2000-08-10,223,28.07,76.86919403076172,0,14.6774,121.25562
2000-08-11,224,27.67,77.93653106689453,0,14.6774,121.25562
2000-08-12,225,27.5,80.505950927734375,0,14.6774,121.25562
2000-08-13,226,26.94,79.7816162109375,0,14.6774,121.25562
2000-08-14,227,27.77,80.7977523803711,0,14.6774,121.25562
2000-08-15,228,27.05,82.03577423095703,0,14.6774,121.25562
2000-08-16,229,28.08,76.651763916015625,0,14.6774,121.25562
2000-08-17,230,27.25,78.47315216064453,16.535541534423828,14.6774,121.25562
2000-08-18,231,26.97,80.04642486572266,57.874393463134766,14.6774,121.25562
2000-08-19,232,26.13,83.0203857421875,19.291465759277344,14.6774,121.25562
2000-08-20,233,27.49,78.80023193359375,14.468598365783691,14.6774,121.25562
2000-08-21,234,25.31,85.90413665771484,26.808761596679688,14.6774,121.25562
2000-08-22,235,24.24,90.18586730957031,29.32208251953125,14.6774,121.25562
2000-08-23,236,24.91,89.130950927734375,6.702190399169922,14.6774,121.25562
2000-08-24,237,26.33,82.04136657714844,0,14.6774,121.25562
2000-08-25,238,26.54,81.72542572021484,5.864416599273682,14.6774,121.25562
2000-08-26,239,27.36,81.03087615966797,21.597789764404297,14.6774,121.25562
2000-08-27,240,26.88,82.05402374267578,0,14.6774,121.25562
2000-08-28,241,26.54,82.1609878540039,21.597789764404297,14.6774,121.25562
2000-08-29,242,25.88,83.63524627685547,21.597789764404297,14.6774,121.25562
2000-08-30,243,25.58,85.8940200805664,0,14.6774,121.25562
2000-08-31,244,26.49,83.9015884399414,0,14.6774,121.25562
2000-09-01,245,25.84,86.79658508300781,36.54600524902344,14.6774,121.25562
2000-09-02,246,25.07,87.86022186279297,73.092010498046875,14.6774,121.25562
2000-09-03,247,24.15,88.45377349853516,91.36500549316406,14.6774,121.25562
2000-09-04,248,25.18,85.77276611328125,15.988875389099121,14.6774,121.25562
